ano,id_respondente,categoria,tecnologia
2023,2023-0,linguagem_uso,Python
2023,2023-0,linguagem_uso,SQL
2023,2023-1,linguagem_uso,SQL
2023,2023-1,linguagem_uso,Python
2023,2023-2,linguagem_uso,SQL
2023,2023-2,linguagem_uso,Python
2023,2023-2,linguagem_uso,SAS/Stata
2023,2023-4,linguagem_uso,SQL
2023,2023-4,linguagem_uso,Python
2023,2023-5,linguagem_uso,Python
2023,2023-5,linguagem_uso,SQL
2023,2023-6,linguagem_uso,SQL
2023,2023-10,linguagem_uso,SQL
2023,2023-10,linguagem_uso,Python
2023,2023-12,linguagem_uso,R
2023,2023-12,linguagem_uso,Não utilizo nenhuma das linguagens listadas
2023,2023-16,linguagem_uso,SQL
2023,2023-16,linguagem_uso,R
2023,2023-16,linguagem_uso,SAS/Stata
2023,2023-17,linguagem_uso,SQL
2023,2023-17,linguagem_uso,SAS/Stata
2023,2023-18,linguagem_uso,SQL
2023,2023-18,linguagem_uso,Python
2023,2023-18,linguagem_uso,JavaScript
2023,2023-20,linguagem_uso,SQL
2023,2023-20,linguagem_uso,Python
2023,2023-21,linguagem_uso,SQL
2023,2023-21,linguagem_uso,Python
2023,2023-22,linguagem_uso,SQL
2023,2023-22,linguagem_uso,Python
2023,2023-24,linguagem_uso,Python
2023,2023-24,linguagem_uso,SQL
2023,2023-25,linguagem_uso,SQL
2023,2023-25,linguagem_uso,C/C++/C#
2023,2023-25,linguagem_uso,.NET
2023,2023-27,linguagem_uso,SQL
2023,2023-27,linguagem_uso,Python
2023,2023-28,linguagem_uso,SQL
2023,2023-29,linguagem_uso,R
2023,2023-29,linguagem_uso,Visual Basic/VBA
2023,2023-30,linguagem_uso,SQL
2023,2023-30,linguagem_uso,JavaScript
2023,2023-31,linguagem_uso,SQL
2023,2023-31,linguagem_uso,Python
2023,2023-33,linguagem_uso,Não utilizo nenhuma das linguagens listadas
2023,2023-34,linguagem_uso,SQL
2023,2023-34,linguagem_uso,Python
2023,2023-34,linguagem_uso,R
2023,2023-34,linguagem_uso,JavaScript
2023,2023-35,linguagem_uso,R
2023,2023-35,linguagem_uso,Python
2023,2023-35,linguagem_uso,SQL
2023,2023-35,linguagem_uso,PHP
2023,2023-35,linguagem_uso,JavaScript
2023,2023-37,linguagem_uso,SQL
2023,2023-37,linguagem_uso,Python
2023,2023-38,linguagem_uso,SQL
2023,2023-38,linguagem_uso,Python
2023,2023-39,linguagem_uso,SQL
2023,2023-39,linguagem_uso,Python
2023,2023-40,linguagem_uso,SQL
2023,2023-40,linguagem_uso,Python
2023,2023-41,linguagem_uso,SQL
2023,2023-41,linguagem_uso,Python
2023,2023-42,linguagem_uso,Python
2023,2023-43,linguagem_uso,SQL
2023,2023-43,linguagem_uso,Python
2023,2023-44,linguagem_uso,SQL
2023,2023-44,linguagem_uso,Python
2023,2023-45,linguagem_uso,R
2023,2023-47,linguagem_uso,SQL
2023,2023-47,linguagem_uso,Python
2023,2023-48,linguagem_uso,SQL
2023,2023-49,linguagem_uso,SQL
2023,2023-49,linguagem_uso,Python
2023,2023-50,linguagem_uso,SQL
2023,2023-50,linguagem_uso,Python
2023,2023-51,linguagem_uso,SQL
2023,2023-51,linguagem_uso,Python
2023,2023-52,linguagem_uso,Não utilizo nenhuma das linguagens listadas
2023,2023-53,linguagem_uso,SQL
2023,2023-53,linguagem_uso,Python
2023,2023-54,linguagem_uso,Python
2023,2023-54,linguagem_uso,SQL
2023,2023-55,linguagem_uso,SQL
2023,2023-55,linguagem_uso,Python
2023,2023-56,linguagem_uso,Python
2023,2023-56,linguagem_uso,SAS/Stata
2023,2023-56,linguagem_uso,Visual Basic/VBA
2023,2023-56,linguagem_uso,SQL
2023,2023-57,linguagem_uso,Python
2023,2023-58,linguagem_uso,Python
2023,2023-58,linguagem_uso,SQL
2023,2023-59,linguagem_uso,SQL
2023,2023-59,linguagem_uso,Python
2023,2023-60,linguagem_uso,Não utilizo nenhuma das linguagens listadas
2023,2023-62,linguagem_uso,Python
2023,2023-62,linguagem_uso,SQL
2023,2023-64,linguagem_uso,SQL
2023,2023-64,linguagem_uso,R
2023,2023-64,linguagem_uso,Python
2023,2023-64,linguagem_uso,SAS/Stata
2023,2023-64,linguagem_uso,Visual Basic/VBA
2023,2023-65,linguagem_uso,SQL
2023,2023-65,linguagem_uso,Python
2023,2023-65,linguagem_uso,Java
2023,2023-67,linguagem_uso,Python
2023,2023-67,linguagem_uso,SQL
2023,2023-68,linguagem_uso,SQL
2023,2023-69,linguagem_uso,SQL
2023,2023-70,linguagem_uso,SQL
2023,2023-70,linguagem_uso,Python
2023,2023-72,linguagem_uso,SQL
2023,2023-72,linguagem_uso,Python
2023,2023-73,linguagem_uso,SQL
2023,2023-73,linguagem_uso,Python
2023,2023-74,linguagem_uso,SQL
2023,2023-74,linguagem_uso,Python
2023,2023-79,linguagem_uso,SQL
2023,2023-79,linguagem_uso,Python
2023,2023-80,linguagem_uso,Não utilizo nenhuma das linguagens listadas
2023,2023-81,linguagem_uso,SQL
2023,2023-81,linguagem_uso,Python
2023,2023-83,linguagem_uso,Python
2023,2023-84,linguagem_uso,SQL
2023,2023-84,linguagem_uso,Python
2023,2023-85,linguagem_uso,Python
2023,2023-85,linguagem_uso,SQL
2023,2023-86,linguagem_uso,SQL
2023,2023-87,linguagem_uso,SQL
2023,2023-87,linguagem_uso,Python
2023,2023-87,linguagem_uso,PHP
2023,2023-87,linguagem_uso,JavaScript
2023,2023-90,linguagem_uso,SQL
2023,2023-90,linguagem_uso,Python
2023,2023-91,linguagem_uso,SQL
2023,2023-91,linguagem_uso,Python
2023,2023-91,linguagem_uso,JavaScript
2023,2023-91,linguagem_uso,Java
2023,2023-92,linguagem_uso,SQL
2023,2023-92,linguagem_uso,Python
2023,2023-94,linguagem_uso,SQL
2023,2023-94,linguagem_uso,Python
2023,2023-95,linguagem_uso,Não utilizo nenhuma das linguagens listadas
2023,2023-96,linguagem_uso,SQL
2023,2023-96,linguagem_uso,R
2023,2023-96,linguagem_uso,Python
2023,2023-97,linguagem_uso,SQL
2023,2023-97,linguagem_uso,Python
2023,2023-98,linguagem_uso,SQL
2023,2023-98,linguagem_uso,Python
2023,2023-98,linguagem_uso,R
2023,2023-99,linguagem_uso,SQL
2023,2023-99,linguagem_uso,Python
2023,2023-99,linguagem_uso,Scala
2023,2023-100,linguagem_uso,SQL
2023,2023-100,linguagem_uso,Python
2023,2023-100,linguagem_uso,PHP
2023,2023-100,linguagem_uso,JavaScript
2023,2023-101,linguagem_uso,Python
2023,2023-103,linguagem_uso,Python
2023,2023-103,linguagem_uso,SQL
2023,2023-104,linguagem_uso,Não utilizo nenhuma das linguagens listadas
2023,2023-106,linguagem_uso,SQL
2023,2023-106,linguagem_uso,Python
2023,2023-107,linguagem_uso,Python
2023,2023-107,linguagem_uso,Visual Basic/VBA
2023,2023-108,linguagem_uso,SQL
2023,2023-108,linguagem_uso,Python
2023,2023-110,linguagem_uso,SQL
2023,2023-110,linguagem_uso,Python
2023,2023-111,linguagem_uso,Python
2023,2023-112,linguagem_uso,SQL
2023,2023-112,linguagem_uso,Python
2023,2023-114,linguagem_uso,SQL
2023,2023-114,linguagem_uso,Python
2023,2023-115,linguagem_uso,Python
2023,2023-116,linguagem_uso,Python
2023,2023-116,linguagem_uso,SQL
2023,2023-117,linguagem_uso,SQL
2023,2023-117,linguagem_uso,Python
2023,2023-117,linguagem_uso,JavaScript
2023,2023-117,linguagem_uso,SAS/Stata
2023,2023-118,linguagem_uso,SQL
2023,2023-118,linguagem_uso,Python
2023,2023-119,linguagem_uso,SQL
2023,2023-120,linguagem_uso,R
2023,2023-120,linguagem_uso,Python
2023,2023-122,linguagem_uso,SQL
2023,2023-123,linguagem_uso,SQL
2023,2023-123,linguagem_uso,Python
2023,2023-123,linguagem_uso,SAS/Stata
2023,2023-123,linguagem_uso,JavaScript
2023,2023-124,linguagem_uso,SQL
2023,2023-124,linguagem_uso,Python
2023,2023-129,linguagem_uso,SQL
2023,2023-129,linguagem_uso,Python
2023,2023-130,linguagem_uso,Não utilizo nenhuma das linguagens listadas
2023,2023-131,linguagem_uso,Visual Basic/VBA
2023,2023-131,linguagem_uso,SQL
2023,2023-133,linguagem_uso,SQL
2023,2023-133,linguagem_uso,Python
2023,2023-134,linguagem_uso,Python
2023,2023-134,linguagem_uso,SQL
2023,2023-136,linguagem_uso,SQL
2023,2023-136,linguagem_uso,R
2023,2023-136,linguagem_uso,PHP
2023,2023-136,linguagem_uso,JavaScript
2023,2023-138,linguagem_uso,SQL
2023,2023-138,linguagem_uso,Python
2023,2023-139,linguagem_uso,Python
2023,2023-142,linguagem_uso,SQL
2023,2023-142,linguagem_uso,Python
2023,2023-143,linguagem_uso,Python
2023,2023-144,linguagem_uso,SQL
2023,2023-145,linguagem_uso,SQL
2023,2023-145,linguagem_uso,Python
2023,2023-145,linguagem_uso,Scala
2023,2023-145,linguagem_uso,Visual Basic/VBA
2023,2023-146,linguagem_uso,Não utilizo nenhuma das linguagens listadas
2023,2023-147,linguagem_uso,R
2023,2023-147,linguagem_uso,Python
2023,2023-147,linguagem_uso,SQL
2023,2023-148,linguagem_uso,Python
2023,2023-148,linguagem_uso,.NET
2023,2023-150,linguagem_uso,SQL
2023,2023-150,linguagem_uso,Python
2023,2023-151,linguagem_uso,SQL
2023,2023-151,linguagem_uso,Python
2023,2023-154,linguagem_uso,SQL
2023,2023-154,linguagem_uso,Python
2023,2023-156,linguagem_uso,SQL
2023,2023-156,linguagem_uso,Python
2023,2023-158,linguagem_uso,SQL
2023,2023-158,linguagem_uso,Python
2023,2023-159,linguagem_uso,SQL
2023,2023-159,linguagem_uso,Python
2023,2023-160,linguagem_uso,Python
2023,2023-161,linguagem_uso,SQL
2023,2023-161,linguagem_uso,Python
2023,2023-162,linguagem_uso,SQL
2023,2023-162,linguagem_uso,R
2023,2023-162,linguagem_uso,Python
2023,2023-164,linguagem_uso,Python
2023,2023-164,linguagem_uso,R
2023,2023-164,linguagem_uso,Julia
2023,2023-164,linguagem_uso,Matlab
2023,2023-165,linguagem_uso,Não utilizo nenhuma das linguagens listadas
2023,2023-166,linguagem_uso,SQL
2023,2023-166,linguagem_uso,Python
2023,2023-167,linguagem_uso,SQL
2023,2023-167,linguagem_uso,Python
2023,2023-167,linguagem_uso,JavaScript
2023,2023-168,linguagem_uso,SQL
2023,2023-168,linguagem_uso,Python
2023,2023-169,linguagem_uso,SQL
2023,2023-169,linguagem_uso,Python
2023,2023-170,linguagem_uso,SQL
2023,2023-170,linguagem_uso,Python
